Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$
114,Brasil,Suíça,2010,2025,21600
115,Brasil,Suriname,2010,1836,1269
116,Brasil,Tailândia,2010,0,0
117,Brasil,Taiwan (FORMOSA),2010,0,0
118,Brasil,Tanzânia,2010,0,0
119,Brasil,"Tcheca, República",2010,1091,5285
120,Brasil,Togo,2010,0,0
121,Brasil,Trinidade Tobago,2010,0,0
122,Brasil,Tunísia,2010,0,0
123,Brasil,Turquia,2010,0,0
124,Brasil,Tuvalu,2010,0,0
125,Brasil,Uruguai,2010,914,2929
126,Brasil,Vanuatu,2010,0,0
127,Brasil,Venezuela,2010,0,0
128,Brasil,Vietnã,2010,8820,9977
1,Brasil,Afeganistão,2011,0,0
2,Brasil,África do Sul,2011,0,0
3,Brasil,"Alemanha, República Democrática",2011,36070,144150
4,Brasil,Angola,2011,13889,69001
5,Brasil,Anguilla,2011,0,0
6,Brasil,Antígua e Barbuda,2011,0,0
7,Brasil,Antilhas Holandesas,2011,7335,10188
8,Brasil,Argentina,2011,13253,55460
9,Brasil,Aruba,2011,900,1680
10,Brasil,Austrália,2011,3632,40704
11,Brasil,Áustria,2011,0,0
12,Brasil,Bahamas,2011,4529,28810
13,Brasil,Bangladesh,2011,0,0
14,Brasil,Barbados,2011,0,0
15,Brasil,Barein,2011,0,0
16,Brasil,Bélgica,2011,11802,62339
17,Brasil,Belice,2011,0,0
18,Brasil,Benin,2011,0,0
19,Brasil,Bolívia,2011,12775,20215
20,Brasil,Bósnia-Herzegovina,2011,0,0
21,Brasil,Brasil,2011,0,0
22,Brasil,Bulgária,2011,0,0
23,Brasil,Cabo Verde,2011,600,825
24,Brasil,Camarões,2011,0,0
25,Brasil,Canadá,2011,28906,128076
26,Brasil,Catar,2011,0,0
27,Brasil,"Cayman, Ilhas",2011,0,0
28,Brasil,Chile,2011,0,0
29,Brasil,China,2011,54156,334867
30,Brasil,Chipre,2011,0,0
31,Brasil,Cingapura,2011,911,3317
32,Brasil,"Cocos (Keeling), Ilhas",2011,0,0
33,Brasil,Colômbia,2011,0,0
34,Brasil,Comores,2011,0,0
35,Brasil,Congo,2011,360,570
36,Brasil,"Coreia, Republica Sul",2011,0,0
37,Brasil,Costa do Marfim,2011,0,0
38,Brasil,Costa Rica,2011,0,0
39,Brasil,Croácia,2011,0,0
40,Brasil,Cuba,2011,2880,4899
41,Brasil,Curaçao,2011,0,0
42,Brasil,Dinamarca,2011,32797,83057
43,Brasil,Dominica,2011,0,0
44,Brasil,El Salvador,2011,0,0
45,Brasil,Emirados Arabes Unidos,2011,2120,6594
46,Brasil,Equador,2011,0,0
47,Brasil,"Eslovaca, Republica",2011,0,0
48,Brasil,Espanha,2011,5206,24618
49,Brasil,Estados Unidos,2011,306787,1030254
50,Brasil,Estônia,2011,450,5336
51,Brasil,Filipinas,2011,0,0
52,Brasil,Finlândia,2011,12404,50394
53,Brasil,França,2011,0,0
54,Brasil,Gana,2011,0,0
55,Brasil,Gibraltar,2011,0,0
56,Brasil,Granada,2011,0,0
57,Brasil,Grécia,2011,0,0
58,Brasil,Guatemala,2011,0,0
59,Brasil,Guiana,2011,0,0
60,Brasil,Guiana Francesa,2011,0,0
61,Brasil,Guine Bissau,2011,0,0
62,Brasil,Guine Equatorial,2011,956,1979
63,Brasil,Haiti,2011,0,0
64,Brasil,Honduras,2011,0,0
65,Brasil,Hong Kong,2011,2063,7975
66,Brasil,Hungria,2011,0,0
67,Brasil,Ilha de Man,2011,0,0
68,Brasil,Ilhas Virgens,2011,0,0
69,Brasil,India,2011,0,0
70,Brasil,Indonésia,2011,0,0
71,Brasil,Irã,2011,0,0
72,Brasil,Iraque,2011,0,0
73,Brasil,Irlanda,2011,5376,35690
74,Brasil,Itália,2011,11999,80298
75,Brasil,Jamaica,2011,0,0
76,Brasil,Japão,2011,100835,144662
77,Brasil,Jordânia,2011,0,0
78,Brasil,Letônia,2011,0,0
79,Brasil,Líbano,2011,0,0
80,Brasil,Libéria,2011,0,0
81,Brasil,Luxemburgo,2011,9547,65592
82,Brasil,Malásia,2011,0,0
83,Brasil,Malta,2011,0,0
84,Brasil,"Marshall, Ilhas",2011,0,0
85,Brasil,Mauritânia,2011,0,0
86,Brasil,México,2011,1350,7200
87,Brasil,Moçambique,2011,0,0
88,Brasil,Montenegro,2011,0,0
89,Brasil,Namibia,2011,0,0
90,Brasil,Nicaragua,2011,0,0
91,Brasil,Nigéria,2011,54,210
92,Brasil,Noruega,2011,10268,78688
93,Brasil,Nova Caledônia,2011,0,0
94,Brasil,Nova Zelândia,2011,2587,7992
95,Brasil,Omã,2011,0,0
96,Brasil,Países Baixos,2011,125414,395356
97,Brasil,Panamá,2011,0,0
98,Brasil,Paraguai,2011,240168,276281
99,Brasil,Peru,2011,0,0
100,Brasil,Polônia,2011,11732,50684
101,Brasil,Porto Rico,2011,0,0
102,Brasil,Portugal,2011,95,1031
103,Brasil,Quênia,2011,0,0
104,Brasil,Reino Unido,2011,122629,285642
105,Brasil,República Dominicana,2011,0,0
106,Brasil,Rússia,2011,0,0
107,Brasil,São Tomé e Príncipe,2011,0,0
108,Brasil,São Vicente e Granadinas,2011,0,0
109,Brasil,Senegal,2011,0,0
110,Brasil,Serra Leoa,2011,0,0
111,Brasil,Singapura,2011,0,0
112,Brasil,Suazilândia,2011,0,0
113,Brasil,Suécia,2011,1641,14476
114,Brasil,Suíça,2011,0,0
115,Brasil,Suriname,2011,3774,3735
116,Brasil,Tailândia,2011,0,0
117,Brasil,Taiwan (FORMOSA),2011,4500,10600
118,Brasil,Tanzânia,2011,0,0
119,Brasil,"Tcheca, República",2011,6846,37271
120,Brasil,Togo,2011,0,0
121,Brasil,Trinidade Tobago,2011,0,0
122,Brasil,Tunísia,2011,0,0
123,Brasil,Turquia,2011,0,0
124,Brasil,Tuvalu,2011,0,0
125,Brasil,Uruguai,2011,1238,4404
126,Brasil,Vanuatu,2011,0,0
127,Brasil,Venezuela,2011,0,0
128,Brasil,Vietnã,2011,0,0
1,Brasil,Afeganistão,2012,0,0
2,Brasil,África do Sul,2012,0,0
3,Brasil,"Alemanha, República Democrática",2012,8189,56342
4,Brasil,Angola,2012,2833,8861
5,Brasil,Anguilla,2012,0,0
6,Brasil,Antígua e Barbuda,2012,0,0
7,Brasil,Antilhas Holandesas,2012,9247,14081
8,Brasil,Argentina,2012,0,0
9,Brasil,Aruba,2012,0,0
10,Brasil,Austrália,2012,9345,56045
11,Brasil,Áustria,2012,0,0
12,Brasil,Bahamas,2012,1374,12087
13,Brasil,Bangladesh,2012,0,0
14,Brasil,Barbados,2012,0,0
15,Brasil,Barein,2012,0,0
16,Brasil,Bélgica,2012,16132,90718
17,Brasil,Belice,2012,0,0
