Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Nigeria,NGA,156595758,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,..
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2050671,2055004,2058539,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,57056,54087,52520,52359,52141,51856,51514,51133,50729,50304,49858,49587,49481,49551,..
"Population, total",SP.POP.TOTL,Norway,NOR,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,..
"Population, total",SP.POP.TOTL,Oman,OMN,2697537,2881914,3206870,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,..
"Population, total",SP.POP.TOTL,Palau,PLW,18826,18540,18240,17946,17805,17796,17794,17816,17837,17864,17916,17972,18024,18055,..
"Population, total",SP.POP.TOTL,Panama,PAN,3559343,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7358890,7583269,7806637,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,5702574,5768613,5843939,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744,..
"Population, total",SP.POP.TOTL,Peru,PER,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588,..
"Population, total",SP.POP.TOTL,Philippines,PHL,92946951,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,..
